Sr. No.,Client Name,Usecase Name,01-Jan,02-Jan,03-Jan,04-Jan,05-Jan,06-Jan,07-Jan,08-Jan,09-Jan,10-Jan,11-Jan,12-Jan,13-Jan,14-Jan,15-Jan,16-Jan,17-Jan,18-Jan,19-Jan,20-Jan,21-Jan,22-Jan,23-Jan,24-Jan,25-Jan,26-Jan,27-Jan,28-Jan,29-Jan,30-Jan,31-Jan,Total
1,AE,Change Requests,0,6,0,0,6,6,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2,AE,HCHB Team Ramp up,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,AE,RE Team Ramp up,0,3,0,0,2,2,4,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
4,AFLI- AgeasFederal ,C2S2 - Email Tagging  Process,0,0,0,0,0,0,2,2.3,3,0,0,3.3,0,6,0,7,0,0,6,0,2.3,0,0,0,0,0,0,0,0,0,0,32.3
5,Amy's Helping Hands,Point System Dashboard Bot ,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
6,Auburn Community Hospital,837 Creation Bot Process,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,2.01,0,0,0,0,2.01,0,0,0,0,7.03
7,Auburn Community Hospital,Continuity of Care Document Sharing Process,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,3.02,0,0,0,0,0,0,0,0,0,0,4.32
8,Auburn Community Hospital,Enhancement CR - Same Day Exclusion – Billing – duplicate ,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,3.02,0,0,0,0,0,0,0,0,0,0,0,0,5.27
9,AutomationEdge Technologies Pvt. Ltd.,US Clients,16.01,##.24,0,0,##.08,##.32,##.10,##.18,##.03,6,0,##.33,##.20,##.20,##.20,##.28,0,1.3,##.30,##.45,##.20,##.49,80.5,0,0,0,86.14,##.00,90.05,55.1,0,##.50
10,Bridge HH,Ops Support -Changes & Issues Resolution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,0,0,0,6,0,8,0,0,32
